"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00485486","1950-10-23","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-10-24","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-10-25","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-10-26","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00485486","1950-10-27","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00485486","1950-10-28","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00485486","1950-10-29","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-10-30","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,"    1",",,0"
"USC00485486","1950-10-31","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0","T,,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-11-01","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,"    1",",,0",,,,,,,,
"USC00485486","1950-11-02","44.25","-106.1","1238.1","LEATH RANCH, WY US","   25",",,0","    0","T,,0","    0",",,0",,,,,,,,,,,,,"    1",",,0",,,,
"USC00485486","1950-11-03","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-11-04","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
"USC00485486","1950-11-05","44.25","-106.1","1238.1","LEATH RANCH, WY US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,
